COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
11.0 , 4131.28205128 , 4132.30769231 , 4142.05128205 , 4138.97435897 , 4133.84615385 , 4138.97435897 , 4114.35897436 , 4137.43589744 , 4139.48717949 , 4140.0 , 4086.15384615 , 3406.66666667 , 4133.33333333 , 4135.8974359 , 2035.0 , 2064.0 , 3.582 , 0.0 , 0.0 , 0.0 , 0.0 , 

12.0 , 4135.38461538 , 4133.33333333 , 4143.58974359 , 4136.92307692 , 4134.35897436 , 4131.28205128 , 4113.33333333 , 4134.87179487 , 4142.56410256 , 4142.05128205 , 4087.17948718 , 3406.15384615 , 4137.94871795 , 4137.94871795 , 2037.0 , 2062.0 , 3.582 , 0.0 , 0.0 , 0.0 , 0.0 , 

13.0 , 4134.87179487 , 4133.33333333 , 4139.48717949 , 4137.43589744 , 4132.82051282 , 4135.38461538 , 4125.64102564 , 4135.8974359 , 4143.07692308 , 4144.1025641 , 4086.66666667 , 3406.66666667 , 4138.46153846 , 4137.43589744 , 2038.0 , 2061.0 , 3.598 , 0.0 , 0.0 , 0.0 , 0.0 , 

14.0 , 4130.25641026 , 4133.84615385 , 4134.35897436 , 4137.94871795 , 4131.28205128 , 4137.43589744 , 4140.0 , 4139.48717949 , 4142.05128205 , 4145.64102564 , 4086.66666667 , 3406.15384615 , 4138.97435897 , 4137.94871795 , 2041.0 , 2060.0 , 3.598 , 0.0 , 0.0 , 0.0 , 0.0 , 

15.0 , 4127.69230769 , 4132.82051282 , 4125.12820513 , 4137.43589744 , 4134.87179487 , 4134.35897436 , 4148.20512821 , 4138.97435897 , 4142.56410256 , 4146.15384615 , 4088.20512821 , 3402.05128205 , 4140.51282051 , 4133.33333333 , 2042.0 , 2060.0 , 3.613 , 0.0 , 0.0 , 0.0 , 0.0 , 

